AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
52,0.17376,966,'3 3BR','1990-1999',75000
34,0.4180373832,1120,'4 4BR+','2000-2009',42800
78,0.39433846149999996,1120,'4 4BR+','1980-1989',0
35,0.19211678829999998,590,'2 2BR','1980-1989',40000
-9,-9.0,1097,'4 4BR+','2000-2009',-9
28,0.1997052632,1120,'4 4BR+','2000-2009',90000
51,0.2079036145,908,'3 3BR','1980-1989',80000
59,0.0245,672,'2 2BR','1980-1989',120000
53,0.4234285714,978,'3 3BR','2000-2009',42000
31,0.2944843049,1120,'4 4BR+','2000-2009',89000
36,0.21791999999999997,779,'2 2BR','1980-1989',50000
45,0.1517087794,1169,'4 4BR+','2000-2009',115000
42,0.1695428571,1362,'4 4BR+','2000-2009',70000
-9,-9.0,1399,'3 3BR','2000-2009',-9
60,0.23716363640000002,967,'2 2BR','1980-1989',55000
-9,-9.0,884,'3 3BR','2000-2009',-9
41,0.5266396761,884,'3 3BR','1980-1989',24700
64,0.3125274725,865,'3 3BR','2000-2009',10000
50,0.0714418605,985,'4 4BR+','1980-1989',26000
43,0.1505960265,1283,'4 4BR+','2000-2009',151000
39,0.0893216924,757,'3 3BR','2000-2009',0
43,0.1271707317,778,'2 2BR','1980-1989',82000
-9,-9.0,1274,'4 4BR+','2000-2009',-9
35,0.0525574418,1274,'4 4BR+','2000-2009',595968
30,1.0422857143000002,1274,'4 4BR+','2000-2009',14000
70,0.05064,1104,'3 3BR','1980-1989',0
42,0.5172105092,1274,'4 4BR+','1990-1999',77075
57,0.07200000000000001,726,'3 3BR','2000-2009',68000
-9,-9.0,726,'3 3BR','1980-1989',-9
76,0.441843318,1065,'2 2BR','1980-1989',0
53,0.45422222219999997,1275,'3 3BR','1980-1989',45000
55,0.4624448898,925,'3 3BR','1980-1989',36900
46,0.1746719973,818,'3 3BR','2000-2009',39000
82,0.15936,697,'2 2BR','1980-1989',0
42,0.5133333333,883,'4 4BR+','2000-2009',0
-9,-9.0,676,'1 1BR','1980-1989',-9
28,0.43082926829999996,778,'3 3BR','2000-2009',20000
36,0.2367457627,610,'2 2BR','1980-1989',29500
-9,-9.0,918,'3 3BR','2000-2009',-9
38,0.22951923079999997,883,'4 4BR+','1980-1989',120000
87,0.7304778104,896,'2 2BR','1990-1999',0
37,0.6604800000000001,1272,'3 3BR','2000-2009',20444
75,0.7511627906999999,761,'0 Studio','1980-1989',0
25,0.4098,791,'3 3BR','1980-1989',20000
25,0.3137560976,791,'3 3BR','2000-2009',41000
61,0.0511,791,'3 3BR','1980-1989',0
71,0.126710593,900,'3 3BR','1980-1989',0
37,0.24,1042,'3 3BR','2000-2009',66000
-9,-9.0,1042,'3 3BR','2000-2009',-9
-9,-9.0,1042,'3 3BR','2000-2009',-9
48,0.16382608699999998,1086,'3 3BR','2000-2009',23000
22,0.3005769231,1086,'3 3BR','1980-1989',41000
26,0.37513043479999997,746,'2 2BR','1980-1989',23000
49,0.18042105260000002,1057,'2 2BR','1980-1989',57000
28,0.2605714286,506,'1 1BR','1980-1989',28000
66,0.2268627209,506,'1 1BR','1980-1989',13312
27,0.28285714289999997,815,'3 3BR','2000-2009',105000
26,0.3940028133,804,'2 2BR','1980-1989',29000
46,0.2479207018,714,'2 2BR','1980-1989',52662
76,0.6506713625,966,'3 3BR','1980-1989',0
24,0.31935483870000003,622,'1 1BR','1980-1989',31000
-9,-9.0,858,'2 2BR','1980-1989',-9
30,0.1829142857,858,'2 2BR','1980-1989',70000
63,0.063323033,608,'2 2BR','1940-1959',21000
17,1.7449856734,615,'2 2BR','1980-1989',1300
33,0.0361698585,1126,'3 3BR','2000-2009',120000
63,0.5087881591,1097,'3 3BR','2000-2009',11000
38,0.12672435869999998,833,'2 2BR','2000-2009',0
40,0.38509589479999995,1204,'3 3BR','1980-1989',40000
36,0.27736825600000004,833,'2 2BR','1980-1989',51000
53,0.20207999999999998,900,'3 3BR','1980-1989',200000
27,0.2616842105,822,'3 3BR','1980-1989',57000
49,0.33830136990000004,961,'4 4BR+','2000-2009',61000
48,0.22470948010000005,789,'4 4BR+','1980-1989',98000
53,0.0355347141,923,'4 4BR+','1980-1989',112000
37,0.2839191564,1252,'4 4BR+','2000-2009',90000
55,0.61825,1097,'3 3BR','1980-1989',0
47,0.5001259843,870,'3 3BR','2000-2009',127000
76,0.0596924932,870,'3 3BR','2000-2009',0
56,0.5483211679,525,'1 1BR','1980-1989',9500
43,0.1501090909,647,'2 2BR','1960-1979',55000
47,0.2946,1251,'4 4BR+','1980-1989',140000
61,0.1944410346,2171,'4 4BR+','1980-1989',0
-9,-9.0,860,'3 3BR','2000-2009',-9
39,0.043479069800000006,824,'4 4BR+','1990-1999',105000
-9,-9.0,955,'3 3BR','1980-1989',-9
23,0.15225806449999998,1517,'4 4BR+','2000-2009',74400
48,0.211047619,1310,'4 4BR+','2000-2009',126000
49,0.3336338028,1578,'4 4BR+','2000-2009',161000
37,0.6471428571,1359,'4 4BR+','2000-2009',28000
-9,-9.0,648,'1 1BR','2000-2009',-9
39,0.2787692308,1139,'3 3BR','2000-2009',50000
56,0.3321722074,1359,'4 4BR+','2000-2009',0
34,0.19466666670000002,1612,'4 4BR+','2000-2009',90000
28,0.2495510204,1612,'4 4BR+','2000-2009',49000
35,0.4029473684000001,1517,'4 4BR+','2000-2009',95000
43,0.2712,782,'2 2BR','1980-1989',17732
57,0.13377224199999999,930,'3 3BR','2000-2009',110000
28,0.26405867969999997,854,'2 2BR','1980-1989',37800
35,0.22624272280000002,1097,'3 3BR','2000-2009',110000
62,0.1494939759,858,'2 2BR','1980-1989',1000
61,0.22817910449999998,929,'4 4BR+','1990-1999',42000
56,0.3116546763,1157,'3 3BR','2000-2009',55000
52,2.703125,710,'1 1BR','1980-1989',3840
33,0.22242105260000009,1157,'3 3BR','2000-2009',114000
-9,-9.0,854,'2 2BR','2000-2009',-9
41,0.44145,1367,'4 4BR+','2000-2009',80000
53,0.2083633809,1207,'3 3BR','2000-2009',101000
21,0.8374285714,1362,'4 4BR+','2000-2009',42000
71,0.7449707981999999,649,'2 2BR','1980-1989',0
62,0.8415730337,1031,'3 3BR','1980-1989',0
58,0.3355073351,1525,'3 3BR','2000-2009',5100
75,0.1201967213,1170,'2 2BR','1990-1999',82000
-9,-9.0,958,'1 1BR','1980-1989',-9
38,0.1400727273,806,'3 3BR','1990-1999',50000
-9,-9.0,925,'3 3BR','1980-1989',-9
31,0.40412903229999997,1037,'4 4BR+','1980-1989',124000
80,0.5014925373,1525,'3 3BR','1980-1989',0
53,0.1023,818,'3 3BR','1980-1989',80000
50,0.34848,539,'1 1BR','1980-1989',20408
30,0.1865,539,'1 1BR','1980-1989',48000
39,0.3281666667,956,'4 4BR+','2000-2009',72000
60,0.1616355983,443,'1 1BR','1980-1989',0
24,0.1101257143,542,'2 2BR','1980-1989',75500
24,0.5221411413,670,'2 2BR','1980-1989',19999
55,0.1264972376,788,'4 4BR+','2000-2009',90500
49,0.1829608128,1069,'4 4BR+','1980-1989',20800
65,5.0415606446,515,'0 Studio','2000-2009',0
-9,-9.0,1048,'3 3BR','1980-1989',-9
59,0.3280507132,763,'2 2BR','1980-1989',15000
43,0.1563272727,757,'3 3BR','1980-1989',110000
57,0.16655999999999999,865,'3 3BR','1980-1989',23000
32,0.27936,791,'3 3BR','1980-1989',25000
50,0.18362790699999998,528,'1 1BR','1980-1989',43000
32,0.1483354839,1077,'3 3BR','2000-2009',155000
44,0.2670857143,1043,'3 3BR','1980-1989',70000
49,0.4104,1283,'4 4BR+','2000-2009',127413
82,0.2632794457,1134,'1 1BR','1980-1989',14000
38,0.66,1199,'4 4BR+','1980-1989',0
50,0.16006956519999999,896,'2 2BR','2000-2009',115000
81,0.1924869756,756,'1 1BR','2000-2009',0
57,0.290516129,1278,'3 3BR','2000-2009',60000
25,0.1271123122,1470,'4 4BR+','2000-2009',162615
30,0.1069411765,1278,'3 3BR','2000-2009',32000
35,0.2097,1278,'3 3BR','2000-2009',50000
26,0.3968,963,'2 2BR','1980-1989',30000
48,0.3794526316,1278,'3 3BR','2000-2009',92000
27,0.1626461538,754,'1 1BR','1980-1989',65000
56,0.1681903237,506,'1 1BR','1980-1989',0
23,0.3973333333,506,'1 1BR','1980-1989',18000
53,0.5276768262,941,'4 4BR+','2000-2009',136000
-9,-9.0,615,'2 2BR','2000-2009',-9
-9,-9.0,615,'2 2BR','2000-2009',-9
62,0.25941015510000004,791,'3 3BR','2000-2009',56400
41,0.2677546086,1043,'3 3BR','1980-1989',39000
29,0.3387272727,1386,'4 4BR+','2000-2009',66000
45,0.1968683274,1408,'4 4BR+','2000-2009',56200
35,0.36776470590000004,1386,'4 4BR+','2000-2009',102000
23,0.2704,1205,'3 3BR','2000-2009',0
