AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
52,0.1047993649,1367,'4 4BR+','1980-1989',165000
73,0.2218425254,1237,'3 3BR','1990-1999',50000
54,0.3909,1237,'3 3BR','1990-1999',40000
42,0.10608258529999999,1026,'3 3BR','1990-1999',120000
53,0.324,740,'2 2BR','1980-1989',20000
-9,-9.0,633,'1 1BR','1980-1989',-9
58,0.0909491059,1143,'3 3BR','1980-1989',120000
93,5.4381884945,727,'0 Studio','1980-1989',0
42,0.22258389260000008,1143,'3 3BR','1980-1989',119200
53,0.0597735849,1491,'3 3BR','1980-1989',185000
65,0.1350723307,2118,'4 4BR+','1980-1989',162650
32,0.31776,658,'1 1BR','1980-1989',25000
27,0.5563636364,798,'2 2BR','1980-1989',11500
51,0.201,968,'3 3BR','1980-1989',20000
61,0.7968,1057,'2 2BR','1980-1989',10000
58,0.14832558140000002,1485,'2 2BR','1980-1989',86000
-9,-9.0,794,'2 2BR','1980-1989',-9
43,0.3396521739,745,'2 2BR','1980-1989',23000
34,0.551641791,686,'2 2BR','1980-1989',12500
23,0.2710588235,877,'1 1BR','1980-1989',51000
40,0.1743849752,1174,'4 4BR+','1990-1999',77000
48,0.1258536585,1287,'4 4BR+','1980-1989',188600
38,0.6753600000000001,1704,'3 3BR','1980-1989',10000
43,0.05244,1314,'4 4BR+','1980-1989',200000
17,0.3384615385,858,'2 2BR','1980-1989',19500
50,0.564,863,'3 3BR','1980-1989',12000
49,0.2144822134,1757,'3 3BR','1980-1989',126000
51,0.4015384615,961,'4 4BR+','1990-1999',39000
59,0.4861356932,1704,'3 3BR','1980-1989',50000
58,0.7070610687000001,1522,'4 4BR+','1980-1989',40000
37,0.2814,839,'1 1BR','1980-1989',80000
61,0.3111891892,1522,'4 4BR+','1980-1989',0
44,0.2197332643,1269,'2 2BR','1980-1989',0
17,0.3744186047,849,'2 2BR','1980-1989',21000
35,0.0603571658,1043,'3 3BR','1980-1989',171000
51,0.1624519481,1043,'3 3BR','1980-1989',192500
32,0.1268,1019,'3 3BR','1980-1989',120000
63,0.49152474770000004,1042,'3 3BR','1980-1989',0
63,0.2140645161,1250,'2 2BR','1980-1989',0
34,0.31706422019999997,968,'3 3BR','1980-1989',76000
42,0.2871428571,1064,'2 2BR','1990-1999',70000
55,0.295504886,877,'3 3BR','1980-1989',120000
45,0.2846821813,1157,'3 3BR','1990-1999',53380
42,0.3907383774,1362,'4 4BR+','1990-1999',98000
80,0.45560129369999997,794,'2 2BR','1980-1989',0
51,0.5607428571,1269,'2 2BR','1980-1989',0
68,0.2229559441,1522,'4 4BR+','1980-1989',40189
35,0.2595428571,779,'2 2BR','1980-1989',35000
-9,-9.0,1055,'1 1BR','1980-1989',-9
35,0.3335294118,797,'2 2BR','1980-1989',34000
-9,-9.0,797,'2 2BR','1980-1989',-9
46,0.1051347954,740,'2 2BR','1980-1989',26000
54,0.0377918552,1139,'3 3BR','1980-1989',110000
43,0.0745990783,1139,'3 3BR','1980-1989',180000
58,0.0936213691,1143,'3 3BR','1980-1989',100000
83,0.37745454549999996,935,'2 2BR','1980-1989',0
39,0.2664255319,1143,'3 3BR','1980-1989',94000
74,0.5378551787,1491,'3 3BR','1980-1989',0
88,0.7690410959,1055,'1 1BR','1980-1989',0
24,0.3196,798,'2 2BR','1980-1989',30000
57,0.1974545455,798,'2 2BR','1980-1989',55000
42,0.15546776,1043,'3 3BR','1980-1989',134000
50,0.1421860465,1131,'4 4BR+','1980-1989',172000
-9,-9.0,1010,'3 3BR','1980-1989',-9
51,0.03864,1278,'3 3BR','1980-1989',50000
31,0.44,877,'1 1BR','1980-1989',27000
49,0.2079262673,1709,'4 4BR+','1980-1989',108000
47,0.1820617356,1314,'4 4BR+','1980-1989',170000
52,0.3273,908,'3 3BR','1980-1989',40000
17,26.088,1237,'3 3BR','1990-1999',1000
88,0.023146059700000002,1059,'3 3BR','1980-1989',0
43,0.6218823529,993,'1 1BR','1990-1999',17000
76,15.994285714,1302,'3 3BR','1980-1989',0
60,0.2058285714,1359,'4 4BR+','1990-1999',105000
64,0.2662702703,1041,'2 2BR','1980-1989',37000
20,0.43366666670000004,1054,'2 2BR','1980-1989',36000
73,0.278,1238,'1 1BR','1980-1989',0
25,0.3896,768,'2 2BR','1980-1989',30000
-9,-9.0,605,'1 1BR','1980-1989',-9
32,0.5894117647,1016,'1 1BR','1980-1989',17000
34,0.29957142859999997,1269,'2 2BR','1980-1989',56000
-9,-9.0,1485,'2 2BR','1990-1999',-9
32,0.11581208050000001,1205,'3 3BR','1980-1989',135050
-9,-9.0,1239,'1 1BR','1980-1989',-9
52,0.3090439276,935,'2 2BR','1990-1999',43400
-9,-9.0,935,'2 2BR','1990-1999',-9
58,0.3191894909,1291,'4 4BR+','1990-1999',1200
46,0.21961538460000002,1572,'4 4BR+','1990-1999',186000
58,0.18814678899999998,1355,'4 4BR+','1990-1999',98000
-9,-9.0,740,'2 2BR','1980-1989',-9
30,0.18675,819,'2 2BR','1980-1989',50000
37,0.0961544793,1474,'4 4BR+','1980-1989',485968
26,0.22967741940000005,624,'1 1BR','1980-1989',30000
39,0.281856,1291,'4 4BR+','1990-1999',125000
50,0.1113846154,1143,'3 3BR','1990-1999',78000
58,0.15317845289999998,1205,'2 2BR','1980-1989',1000
23,0.1558594954,597,'1 1BR','1980-1989',0
65,0.2770334928,1709,'4 4BR+','1980-1989',40000
-9,-9.0,658,'1 1BR','1990-1999',-9
35,0.32026666670000004,814,'2 2BR','1990-1999',45000
50,0.0185030675,1251,'4 4BR+','1990-1999',243000
-9,-9.0,756,'1 1BR','1980-1989',-9
40,0.4028,956,'3 3BR','1980-1989',30000
62,0.1457835371,956,'3 3BR','1980-1989',42662
26,0.1263614458,794,'2 2BR','1980-1989',83000
74,0.119669612,1054,'2 2BR','1980-1989',0
41,0.3736812252,1018,'2 2BR','1980-1989',12000
72,0.2971779141,1617,'4 4BR+','1980-1989',30000
63,0.043032491,1139,'3 3BR','1980-1989',75000
49,0.08832000000000001,782,'2 2BR','1980-1989',51000
69,0.20921212120000002,1105,'3 3BR','1980-1989',0
-9,-9.0,658,'1 1BR','1980-1989',-9
33,0.174,1287,'4 4BR+','1980-1989',43000
64,0.1716759877,1491,'3 3BR','1980-1989',105000
48,0.33444,2118,'4 4BR+','1990-1999',100000
43,0.1837138927,948,'3 3BR','1980-1989',145000
-9,-9.0,1016,'1 1BR','1980-1989',-9
36,1.2272727273000001,1491,'3 3BR','1980-1989',0
-9,-9.0,1016,'1 1BR','1980-1989',-9
45,0.0688760331,1157,'3 3BR','1980-1989',187000
-9,-9.0,797,'2 2BR','1980-1989',-9
49,0.203675658,1010,'3 3BR','1980-1989',73293
42,0.11739292359999999,956,'3 3BR','1980-1989',80050
-9,-9.0,948,'3 3BR','1980-1989',-9
34,0.3704,1695,'3 3BR','1990-1999',165000
37,0.1199599974,1474,'4 4BR+','1990-1999',493365
51,0.3486,1250,'4 4BR+','1980-1989',80000
56,0.2688,1139,'3 3BR','1980-1989',60000
25,0.2293913043,1372,'3 3BR','1980-1989',69000
54,0.214002642,1551,'2 2BR','1990-1999',65000
25,0.1486285714,687,'2 2BR','1980-1989',70000
43,1.7055,1057,'2 2BR','1990-1999',3000
-9,-9.0,740,'2 2BR','1990-1999',-9
68,0.09604316550000001,968,'3 3BR','1990-1999',0
28,0.2848351648,745,'2 2BR','1980-1989',20000
48,0.4053,1028,'3 3BR','1990-1999',40000
24,0.4419117647,605,'1 1BR','1980-1989',16320
-9,-9.0,974,'2 2BR','1980-1989',-9
28,0.2728831169,1372,'3 3BR','1980-1989',77000
-9,-9.0,740,'2 2BR','1980-1989',-9
39,0.3890823529,1704,'3 3BR','1980-1989',85000
44,0.1512352941,1302,'3 3BR','1990-1999',68000
50,0.49488000000000004,1704,'3 3BR','1990-1999',25000
41,0.0996923077,779,'2 2BR','1980-1989',91000
46,0.1616434336,1348,'4 4BR+','1990-1999',127000
48,0.0452616021,1208,'3 3BR','1990-1999',132000
43,0.0954037267,968,'3 3BR','1990-1999',50000
48,0.0340273973,1123,'3 3BR','1980-1989',73000
32,0.8491636364,1704,'3 3BR','1990-1999',55000
33,0.5032183908,968,'3 3BR','1980-1989',50000
-9,-9.0,676,'1 1BR','1980-1989',-9
66,1.843902439,1139,'3 3BR','1980-1989',0
69,0.2576727273,1059,'3 3BR','1980-1989',0
62,0.1546666667,740,'2 2BR','1990-1999',0
78,3.696,1057,'2 2BR','1990-1999',0
64,0.11233255029999999,1028,'3 3BR','1990-1999',0
45,0.44394230770000004,1383,'3 3BR','1980-1989',60000
42,0.2839393939,974,'2 2BR','1980-1989',39600
44,0.16631775699999998,1024,'3 3BR','1980-1989',107000
51,0.23028,1024,'3 3BR','1980-1989',100000
-9,-9.0,1269,'2 2BR','1980-1989',-9
32,0.3482340675,568,'1 1BR','1980-1989',19200
46,0.6443076923,1704,'3 3BR','1980-1989',6500
80,0.45433789950000003,1016,'1 1BR','1980-1989',0
59,0.2716981132,948,'3 3BR','1980-1989',35000
84,0.5093644823,1359,'4 4BR+','1980-1989',0
46,0.0533992583,858,'2 2BR','1990-1999',105000
48,0.1239593909,1517,'4 4BR+','1990-1999',195000
72,0.3637510513,817,'2 2BR','1990-1999',0
63,0.7075,948,'3 3BR','1980-1989',0
-9,-9.0,798,'2 2BR','1980-1989',-9
48,0.3652857143,1617,'4 4BR+','1980-1989',84000
27,0.23151999999999998,974,'2 2BR','1980-1989',75000
37,0.43952380950000003,1269,'2 2BR','1990-1999',18000
-9,-9.0,1123,'3 3BR','1990-1999',-9
54,0.059559477199999995,1310,'4 4BR+','1990-1999',485968
40,0.1087292818,961,'4 4BR+','1980-1989',181000
35,0.20311764710000002,1010,'3 3BR','1980-1989',65000
80,8.1029281278,1035,'3 3BR','1990-1999',0
57,0.21329032260000005,1042,'3 3BR','1990-1999',18000
29,0.11709618869999999,1359,'4 4BR+','1990-1999',165000
33,0.10558441560000001,798,'2 2BR','1980-1989',80000
-9,-9.0,658,'1 1BR','1980-1989',-9
29,0.3378947368,1612,'4 4BR+','1980-1989',54000
43,0.2882181818,974,'2 2BR','1990-1999',52000
37,0.350336164,1715,'4 4BR+','1990-1999',1
55,0.6829999999999999,865,'3 3BR','1980-1989',12000
70,3.7671232876999996,1016,'1 1BR','1990-1999',0
22,0.32608695649999997,700,'1 1BR','1980-1989',23000
24,0.18586666670000002,597,'1 1BR','1980-1989',45000
55,0.5348201439,1024,'3 3BR','1990-1999',27800
47,0.2173148706,910,'3 3BR','1980-1989',31000
29,1.2877894737,1517,'4 4BR+','1990-1999',53400
21,0.4004,798,'2 2BR','1980-1989',30000
31,0.3444,677,'2 2BR','1980-1989',30000
31,0.4897731959,1517,'4 4BR+','1980-1989',85000
55,0.2815884477,1612,'4 4BR+','1990-1999',43000
31,0.197814433,1059,'3 3BR','1980-1989',25000
38,0.1961842105,910,'3 3BR','1980-1989',56000
38,0.3542857143,1059,'3 3BR','1980-1989',63000
28,0.19086792449999998,1617,'4 4BR+','1990-1999',3000
49,0.4412,948,'3 3BR','1980-1989',30000
50,0.1823317536,951,'4 4BR+','1980-1989',105000
41,0.326557377,1010,'3 3BR','1990-1999',48800
44,3.572,1517,'4 4BR+','1990-1999',12000
52,0.3360995851,1059,'3 3BR','1990-1999',72000
42,0.070402171,951,'4 4BR+','1980-1989',125000
47,0.20483870969999998,865,'3 3BR','1990-1999',52000
40,0.1883898305,951,'4 4BR+','1990-1999',0
43,0.196470273,1037,'4 4BR+','1990-1999',310000
46,0.3513131582,865,'3 3BR','1990-1999',37000
54,0.1703181818,951,'4 4BR+','1990-1999',71111
65,0.6049180328,710,'2 2BR','1960-1979',0
21,0.536,572,'2 2BR','1980-1989',9000
30,0.0924661685,1042,'3 3BR','2000-2009',95420
61,0.0724285714,524,'2 2BR','1960-1979',28000
84,0.17613445379999998,738,'3 3BR','1960-1979',0
50,0.2174,882,'3 3BR','1960-1979',60000
55,0.1083870968,738,'3 3BR','1960-1979',40000
62,0.13829508199999999,858,'2 2BR','1960-1979',23000
76,0.6529496403,583,'1 1BR','1980-1989',0
31,0.2068235294,797,'2 2BR','1980-1989',34000
57,0.1652903226,572,'2 2BR','1960-1979',25000
53,0.17505882350000002,518,'2 2BR','1990-1999',17000
41,0.1455,518,'2 2BR','1960-1979',0
67,1.2374193548,1063,'2 2BR','-5',0
50,0.65,870,'3 3BR','1980-1989',14400
54,0.2168571429,818,'3 3BR','1960-1979',191530
53,0.1288461538,1157,'3 3BR','1960-1979',90000
42,0.558974359,566,'2 2BR','1990-1999',1000
30,0.09232,671,'3 3BR','2000-2009',75000
47,0.6257142857,738,'3 3BR','2000-2009',14000
50,0.1396923077,865,'3 3BR','1980-1989',39000
79,0.200295421,677,'2 2BR','1960-1979',0
59,0.1539047619,901,'3 3BR','1990-1999',40000
69,0.169539667,1018,'3 3BR','1960-1979',0
-9,-9.0,746,'3 3BR','1960-1979',-9
64,0.1495876604,710,'3 3BR','1990-1999',28000
-9,-9.0,979,'4 4BR+','2000-2009',-9
52,0.12725,738,'3 3BR','1990-1999',48000
44,0.0388636364,1617,'4 4BR+','1960-1979',0
42,0.0766829268,686,'2 2BR','1980-1989',41000
55,0.10662857140000001,524,'2 2BR','1960-1979',0
44,0.459480916,1485,'2 2BR','1960-1979',32000
40,0.2649677419,880,'4 4BR+','1960-1979',62000
41,0.0773333333,746,'3 3BR','1990-1999',54000
56,-1.0,671,'3 3BR','1980-1989',0
51,-1.0,524,'2 2BR','1980-1989',0
-9,-9.0,572,'2 2BR','1990-1999',-9
71,0.26580921760000004,761,'2 2BR','1960-1979',0
50,0.4933333333,572,'2 2BR','2000-2009',10800
36,0.439083558,573,'2 2BR','2000-2009',14840
47,0.10902857140000001,757,'3 3BR','1990-1999',70000
51,0.07272,757,'3 3BR','1990-1999',0
53,0.36257142859999997,524,'2 2BR','1960-1979',14000
28,0.1537674419,865,'3 3BR','2000-2009',0
21,2.292,865,'3 3BR','2000-2009',2000
66,0.395,583,'2 2BR','1990-1999',0
83,0.1610958904,524,'2 2BR','1980-1989',0
34,0.244,1018,'3 3BR','1980-1989',36000
42,0.0387096774,930,'3 3BR','1990-1999',124000
70,0.0882758621,566,'2 2BR','1960-1979',0
55,0.2036,748,'3 3BR','1960-1979',60000
48,0.10173913039999999,583,'2 2BR','1980-1989',37000
73,0.275625,583,'2 2BR','1980-1989',0
41,3.2,901,'3 3BR','1990-1999',0
67,0.10539291220000001,566,'2 2BR','1990-1999',0
85,0.37,637,'2 2BR','1940-1959',0
58,-1.0,524,'2 2BR','1990-1999',0
35,0.1005245902,832,'4 4BR+','2000-2009',112000
-9,-9.0,788,'4 4BR+','1960-1979',-9
72,0.3451249817,671,'3 3BR','2000-2009',0
42,0.09255,466,'1 1BR','1980-1989',80000
60,0.26784,738,'3 3BR','1990-1999',13000
50,0.28817187559999996,791,'3 3BR','2000-2009',18838
61,0.1378939277,671,'3 3BR','1990-1999',0
44,1.71,776,'4 4BR+','1990-1999',0
70,0.38761061950000003,710,'3 3BR','1960-1979',0
69,0.1117997424,757,'3 3BR','1960-1979',8000
25,0.22399999999999998,677,'2 2BR','1960-1979',12000
78,0.2025592159,797,'2 2BR','1990-1999',0
29,0.0545889864,726,'3 3BR','2000-2009',49400
66,0.33799999999999997,1042,'3 3BR','1940-1959',0
37,1.3015662651,738,'3 3BR','2000-2009',33200
-9,-9.0,671,'3 3BR','2000-2009',-9
54,0.0673548387,930,'3 3BR','1990-1999',31000
72,0.1064239272,1269,'2 2BR','1940-1959',35000
74,0.2264,1491,'3 3BR','1960-1979',0
43,0.6130593931,1715,'4 4BR+','1960-1979',61001
44,0.324,843,'0 Studio','1960-1979',10000
50,0.2056,1016,'1 1BR','1960-1979',75000
31,0.1841940086,1016,'1 1BR','1940-1959',70000
65,0.3414588057,794,'2 2BR','-5',36000
69,0.645,1704,'3 3BR','1960-1979',0
54,0.6872727273,1189,'2 2BR','1940-1959',7000
60,0.2801316331,1462,'3 3BR','1940-1959',0
-9,-9.0,1189,'2 2BR','1940-1959',-9
53,0.2676428571,1462,'3 3BR','1940-1959',56000
34,0.947826087,1114,'3 3BR','1960-1979',13800
45,0.1344,1269,'2 2BR','1960-1979',21552
78,0.3737373737,843,'0 Studio','1960-1979',0
32,0.3241666667,844,'3 3BR','1960-1979',8400
48,0.784,498,'1 1BR','-5',1000
27,0.4254929577,1704,'3 3BR','1940-1959',28400
76,3.3882352941000002,1016,'1 1BR','1960-1979',0
61,11.072164948,1462,'3 3BR','1940-1959',0
40,-1.0,1189,'2 2BR','1980-1989',0
29,0.3565957447,956,'3 3BR','1960-1979',13000
35,0.0440030558,843,'0 Studio','-5',55000
49,0.77,1016,'1 1BR','-5',0
37,0.6763636364,1016,'1 1BR','1940-1959',11000
37,0.2458064516,1269,'2 2BR','-5',25000
43,0.34414285710000003,1016,'1 1BR','1960-1979',28000
36,0.21333333329999998,1016,'1 1BR','1940-1959',52000
43,0.2274545455,1143,'3 3BR','1940-1959',66000
50,0.32479166670000004,1143,'3 3BR','1960-1979',57600
35,0.18848780489999997,935,'2 2BR','1960-1979',82000
27,0.5505882353,843,'0 Studio','1940-1959',17000
29,0.6288,1016,'1 1BR','1940-1959',20000
27,0.4871052632,1016,'1 1BR','1960-1979',36000
33,0.3912857143,1269,'2 2BR','-5',50000
77,6.54,935,'2 2BR','1940-1959',0
51,0.1594951456,1314,'4 4BR+','-5',103000
-9,-9.0,1143,'3 3BR','1960-1979',-9
62,0.40399999999999997,1143,'3 3BR','-5',0
-9,-9.0,1269,'2 2BR','1940-1959',-9
37,0.1646666667,1016,'1 1BR','1940-1959',54000
46,0.4666666667,843,'0 Studio','1940-1959',18000
56,0.2292,935,'2 2BR','-5',40000
53,0.2616305732,1143,'3 3BR','-5',157000
58,0.1876363636,1143,'3 3BR','1960-1979',73000
25,0.17147826089999998,1143,'3 3BR','1960-1979',69000
21,7.626,1016,'1 1BR','1940-1959',2000
45,0.2488,1269,'2 2BR','1960-1979',60000
57,0.3195,1704,'3 3BR','1960-1979',8000
76,0.8588516745999999,1016,'1 1BR','1940-1959',0
66,0.22275,1291,'4 4BR+','1940-1959',0
82,0.42467532469999997,1143,'3 3BR','1940-1959',0
67,0.2635167274,1291,'4 4BR+','1960-1979',0
46,0.0699333333,1143,'3 3BR','-5',180000
37,0.067008,1143,'3 3BR','1960-1979',125000
58,0.2411162791,1016,'1 1BR','1960-1979',43000
62,0.36775,1960,'4 4BR+','-5',36000
67,0.5966197182999999,1016,'1 1BR','1960-1979',0
22,0.27005649719999997,1269,'2 2BR','1940-1959',31680
43,0.45288,1314,'4 4BR+','1940-1959',50000
77,0.1696744186,1143,'3 3BR','1960-1979',0
52,0.1765090909,1143,'3 3BR','1960-1979',55000
55,0.047083854800000005,1143,'3 3BR','-5',159800
51,0.15243859769999998,1314,'4 4BR+','1940-1959',485968
53,0.1291304348,1269,'2 2BR','1940-1959',92000
-9,-9.0,1016,'1 1BR','-5',-9
44,0.0967934342,1291,'4 4BR+','1960-1979',498968
78,0.1518458324,1143,'3 3BR','1940-1959',0
81,0.6205,1143,'3 3BR','1940-1959',0
80,0.2324,1143,'3 3BR','1960-1979',29100
30,0.5767924528,1269,'2 2BR','-5',21200
38,-1.0,1016,'1 1BR','1960-1979',0
74,0.5547428571,1143,'3 3BR','1960-1979',0
48,0.2718545455,1143,'3 3BR','1960-1979',55000
44,0.1461333333,1143,'3 3BR','1960-1979',135000
36,0.20746666670000002,1143,'3 3BR','-5',180000
29,0.2978666667,1016,'1 1BR','1960-1979',45000
40,0.2347636364,1016,'1 1BR','1960-1979',55000
53,0.1468571429,1269,'2 2BR','1960-1979',126000
44,0.4884705882,1016,'1 1BR','1960-1979',0
49,0.19269461079999997,1143,'3 3BR','1960-1979',100000
84,0.7088950937,935,'2 2BR','1960-1979',0
72,0.1761120841,935,'2 2BR','1940-1959',0
65,0.124,1143,'3 3BR','1960-1979',30000
29,0.2286,1016,'1 1BR','1960-1979',0
30,0.3203800475,1016,'1 1BR','1960-1979',42000
25,0.18947999999999998,1269,'2 2BR','1960-1979',100000
61,0.4104,1016,'1 1BR','1960-1979',26000
67,0.1441696113,1143,'3 3BR','1940-1959',0
84,0.1881818182,935,'2 2BR','1960-1979',0
48,0.32415,935,'2 2BR','1940-1959',80000
38,0.046272,1704,'3 3BR','1960-1979',125000
82,0.7140000000000001,1143,'3 3BR','1960-1979',0
67,0.3714285714,935,'2 2BR','1940-1959',0
49,0.1274666667,1143,'3 3BR','1940-1959',90000
46,0.3979285714,1704,'3 3BR','1960-1979',38000
27,0.1980116959,1269,'2 2BR','1960-1979',75000
58,7.9696969697,935,'2 2BR','1940-1959',604
60,0.2254883721,935,'2 2BR','1960-1979',2000
64,0.2266,1143,'3 3BR','1960-1979',60000
74,0.13102181029999999,1269,'2 2BR','-5',27000
51,1.7098564593,1704,'3 3BR','1960-1979',0
87,39.420427553,773,'1 1BR','2000-2009',0
36,0.8496,2051,'4 4BR+','1940-1959',25000
28,0.017337313400000002,1704,'3 3BR','1940-1959',160000
24,0.38592,832,'1 1BR','-5',25000
28,0.3355294118,935,'2 2BR','-5',25500
76,2.7538940810000003,727,'0 Studio','1980-1989',0
33,0.2333142857,2051,'4 4BR+','1940-1959',70000
25,0.9322285714,2051,'4 4BR+','1940-1959',35000
32,0.3664190193,1143,'3 3BR','-5',26600
78,11.128608924000002,2051,'4 4BR+','1960-1979',0
67,0.2932186732,2051,'4 4BR+','1960-1979',0
39,0.4959529412,2051,'4 4BR+','1960-1979',85000
24,0.3781333333,935,'2 2BR','1960-1979',45000
51,0.2913294798,832,'1 1BR','1960-1979',34600
-9,-9.0,832,'1 1BR','-5',-9
23,0.679,935,'2 2BR','1960-1979',24000
31,0.37308056869999995,935,'2 2BR','1960-1979',42200
24,15324.0,935,'2 2BR','1960-1979',1
27,0.25139841690000003,832,'1 1BR','-5',37500
70,0.2527995521,1704,'3 3BR','1960-1979',0
60,0.9609703504000001,1960,'4 4BR+','1960-1979',64600
82,0.2630136986,1960,'4 4BR+','1940-1959',40000
31,-1.0,832,'1 1BR','1940-1959',0
-9,-9.0,832,'1 1BR','-5',-9
24,0.34992,727,'0 Studio','1960-1979',25000
43,0.5226040878,2051,'4 4BR+','1960-1979',32000
73,0.0403587444,1704,'3 3BR','1940-1959',0
-9,-9.0,935,'2 2BR','-5',-9
68,0.9470404984,832,'1 1BR','-5',0
-9,-9.0,935,'2 2BR','-5',-9
87,0.041554315099999996,1704,'3 3BR','1960-1979',0
44,0.3235,1704,'3 3BR','1960-1979',65000
46,0.4399277978,1269,'2 2BR','1940-1959',55000
43,0.4502608696,935,'2 2BR','-5',23000
84,11.871428571,832,'1 1BR','1940-1959',0
59,0.2453454545,1704,'3 3BR','1940-1959',110000
31,0.68088,1704,'3 3BR','1940-1959',0
86,0.283286119,1704,'3 3BR','1960-1979',0
32,0.7027636364000001,2051,'4 4BR+','1960-1979',110000
34,0.18899999999999997,832,'1 1BR','-5',60000
35,0.1615890411,832,'1 1BR','1960-1979',73000
-9,-9.0,935,'2 2BR','1960-1979',-9
35,0.63984,1269,'2 2BR','1940-1959',0
60,0.3684002841,956,'3 3BR','1940-1959',0
66,0.12032000000000001,1704,'3 3BR','1940-1959',0
51,0.28600000000000003,1016,'1 1BR','-5',30000
64,1.9377733598,1269,'2 2BR','1960-1979',2000
25,0.2925842697,935,'2 2BR','1940-1959',44000
31,0.2505982906,832,'1 1BR','-5',70000
29,0.20233846149999998,803,'2 2BR','1960-1979',65000
76,0.058508875700000004,935,'2 2BR','1960-1979',60500
59,0.8839802162999999,2215,'4 4BR+','1940-1959',40000
50,0.8385611054000001,1704,'3 3BR','1940-1959',21454
56,0.4122222222,1704,'3 3BR','1960-1979',21600
64,0.17712,1704,'3 3BR','1960-1979',0
65,0.2924503311,803,'2 2BR','-5',700
44,0.2016923077,1028,'3 3BR','1960-1979',18000
93,0.3247058824,1143,'3 3BR','1960-1979',0
51,0.164521143,1704,'3 3BR','1960-1979',15141
57,0.2141421266,1131,'4 4BR+','1940-1959',8706
52,0.1605,1028,'3 3BR','1960-1979',104000
57,0.43331482509999997,1028,'3 3BR','1980-1989',54000
49,0.0659076923,1269,'2 2BR','1960-1979',65000
60,0.0637894737,1269,'2 2BR','1940-1959',38000
24,0.9098181818000001,935,'2 2BR','-5',20000
30,0.25769728329999997,935,'2 2BR','1940-1959',28905
41,0.1032,935,'2 2BR','-5',70000
31,0.1951255814,935,'2 2BR','-5',215000
25,0.271943662,1131,'4 4BR+','1960-1979',20000
50,1.3165714286,948,'3 3BR','-5',0
68,0.31507007989999997,1016,'1 1BR','1960-1979',0
58,0.39116022100000003,935,'2 2BR','1960-1979',0
61,0.2145,935,'2 2BR','-5',40000
42,0.276,935,'2 2BR','-5',40000
32,0.1825441696,1269,'2 2BR','1960-1979',56000
69,0.3237410072,1704,'3 3BR','1940-1959',35000
27,0.1077714286,1269,'2 2BR','1960-1979',55000
52,0.366,663,'1 1BR','-5',0
-9,-9.0,1016,'1 1BR','1940-1959',-9
76,0.5186086957,773,'1 1BR','1960-1979',0
39,0.5583485053,2071,'3 3BR','1940-1959',50000
-9,-9.0,935,'2 2BR','1940-1959',-9
24,0.12,1291,'4 4BR+','1960-1979',132000
41,0.2272,843,'0 Studio','-5',30000
30,0.1442264151,1016,'1 1BR','1960-1979',53000
-9,-9.0,1008,'0 Studio','-5',-9
23,0.06873287900000001,793,'2 2BR','-5',36000
31,0.10836923080000001,663,'1 1BR','1940-1959',65000
80,0.37882352939999997,1016,'1 1BR','1960-1979',0
43,0.2088,1314,'4 4BR+','-5',105000
51,0.10566111660000001,1314,'4 4BR+','1940-1959',100000
17,0.34211764710000003,773,'1 1BR','-5',0
89,0.2823529412,1239,'1 1BR','1960-1979',0
93,0.6189769621,1008,'0 Studio','-5',0
43,0.1336551724,2071,'3 3BR','1960-1979',58000
-9,-9.0,1143,'3 3BR','-5',-9
46,0.185097915,1105,'3 3BR','-5',89000
74,0.2176710684,1271,'4 4BR+','1960-1979',7000
34,0.2962105263,1016,'1 1BR','1960-1979',38000
-9,-9.0,935,'2 2BR','1940-1959',-9
77,1.3384795322,1291,'4 4BR+','1960-1979',0
-9,-9.0,1008,'0 Studio','-5',-9
47,0.2994146341,948,'3 3BR','1940-1959',41000
67,0.2879712029,1016,'1 1BR','1960-1979',0
44,0.61344,1269,'2 2BR','-5',25000
49,0.44968421049999996,1016,'1 1BR','-5',19000
37,0.2851921435,2188,'4 4BR+','-5',112000
27,0.2322580645,1239,'1 1BR','-5',44000
46,0.1821509752,1105,'3 3BR','-5',117400
69,0.4294132352,1291,'4 4BR+','1960-1979',4969
50,0.05818181820000001,1291,'4 4BR+','-5',79200
46,0.38357894740000004,1105,'3 3BR','-5',27000
40,0.1821230769,1143,'3 3BR','1940-1959',130000
42,0.146641791,1239,'1 1BR','1940-1959',74000
31,0.1257230769,1239,'1 1BR','-5',130000
87,3.1636363636000002,948,'3 3BR','-5',0
35,0.3029333333,1016,'1 1BR','1960-1979',45000
36,0.3355,1695,'3 3BR','1960-1979',48000
44,0.2429589041,1551,'2 2BR','-5',73000
-9,-9.0,773,'1 1BR','-5',-9
52,0.9213913043,1250,'2 2BR','1960-1979',46000
65,0.044427480899999996,948,'3 3BR','-5',0
41,-1.0,948,'3 3BR','1940-1959',0
-9,-9.0,948,'3 3BR','1940-1959',-9
37,0.17127436280000002,948,'3 3BR','-5',0
44,0.2464156699,948,'3 3BR','1940-1959',59285
45,0.10368763560000001,1291,'4 4BR+','1940-1959',55000
68,0.11295336789999999,1291,'4 4BR+','1940-1959',47000
54,0.06419954139999999,1291,'4 4BR+','1960-1979',40000
