,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
105,39,0.1603907153,1070,'4 4BR+','2000-2009',231000
106,50,0.052180989000000004,971,'3 3BR','1980-1989',118000
107,88,0.06896966780000001,1012,'2 2BR','2000-2009',0
108,36,0.2171945701,988,'3 3BR','2000-2009',65000
109,44,0.1327021684,1032,'3 3BR','2000-2009',127000
110,52,0.0581473566,1187,'4 4BR+','2000-2009',98000
111,35,0.2847457627,1282,'3 3BR','2000-2009',60000
112,35,0.15857914509999999,849,'3 3BR','2000-2009',90000
113,41,0.42614852049999996,931,'4 4BR+','1990-1999',115000
114,71,0.1498742666,1725,'4 4BR+','1990-1999',0
115,-9,-9.0,3100,'4 4BR+','2000-2009',-9
116,31,0.2103733653,1833,'2 2BR','2000-2009',95000
117,34,0.1332288663,1833,'2 2BR','2000-2009',120000
118,57,0.3285970149,1392,'1 1BR','1980-1989',50000
119,35,0.30211550789999997,859,'3 3BR','1980-1989',17000
120,65,0.1768869936,1231,'3 3BR','1980-1989',140000
121,36,0.4377777778,966,'2 2BR','1980-1989',0
122,56,0.40728980049999997,1436,'4 4BR+','1980-1989',81000
123,58,0.08806876949999999,2301,'4 4BR+','1980-1989',0
124,58,0.10512229779999999,1058,'3 3BR','2000-2009',145000
125,41,0.2108710101,1249,'4 4BR+','2000-2009',108400
126,28,0.1838636912,1058,'3 3BR','2000-2009',70000
127,62,0.026511582599999996,1101,'4 4BR+','1980-1989',182000
128,66,0.13194891109999998,689,'1 1BR','1980-1989',18789
129,42,0.1677133922,1130,'4 4BR+','2000-2009',111000
130,93,0.0465425532,783,'2 2BR','2000-2009',0
131,29,0.285231143,752,'2 2BR','2000-2009',41200
132,72,0.10064,1019,'3 3BR','2000-2009',40000
133,65,0.0698772669,1073,'3 3BR','1980-1989',0
134,58,0.14966740580000001,1073,'3 3BR','1990-1999',90000
135,41,0.2786509359,1468,'4 4BR+','2000-2009',48000
136,84,0.0332363086,1200,'3 3BR','1980-1989',0
137,41,0.1489655172,674,'2 2BR','1980-1989',50000
138,32,0.2468756343,1468,'4 4BR+','2000-2009',69000
139,57,0.1817840939,1091,'3 3BR','1980-1989',80000
140,65,0.1062226394,794,'2 2BR','1980-1989',90000
141,32,0.3327266467,1200,'3 3BR','2000-2009',61000
142,37,0.2472483221,1468,'4 4BR+','2000-2009',117000
143,39,0.5928211114,1200,'3 3BR','1980-1989',24000
144,56,0.0643111054,1528,'4 4BR+','2000-2009',24000
145,30,-1.0,1200,'3 3BR','2000-2009',0
